,publication_date,num_pages,price,الادارة والاعمال,الادب والشعر,التاريخ والجغرافيا,التراجم والسير,التقنية والكمبيوتر,الخيال العلمي,العلوم الاجتماعية والسياسية,العلوم والرياضيات,القانون,القصة والرواية,الكتب الطبية,تطوير الذات,دراسات اسلامية,وصل حديثاً,cover_غلاف مقوى,cover_غلاف مقوى فني,cover_غلاف ورقي,cover_كتاب الكتروني,Language_انجليزي,Language_عربي,Cluster,image_urls,title,author
57,2002,240,69.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,16,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/9/495151.jpg",Mind Gym - An Athlete's Guide to Inner Excellence,‎Gary Mack‎
58,2021,306,39.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/565819.jpg",A Matter of Life & Death (A Palliative Care Nurse's Story) - Courage,‎Kelly Critcher‎
59,2016,367,49.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,12,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/6/463367.jpg",‎عزاءات الفلسفة‎,‎الان دو بوتون‎
60,2015,656,105.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/452502.jpg",Steve Jobs,‎Walter Isaacson‎
61,2021,306,82.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/8/3/3/3/833328ad4abde049020dc1765a1266265c33d5a9_9781906001384.jpg",UKMT Yearbook 19-20,"Mathematics Trust, UK"
62,2017,636,72.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,17,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/7/476360.jpg",Dictionary of The Glorious Quran - A Corpus-based Compilation & Translation,‎Abdelhamid Elewa‎
63,2018,167,31.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,12,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/7/2/5/2/7252bd13456a5e09512f5480366fcc23d52e5886_520794.jpg",‎انسان مفرط في انسانيته‎,‎فريدريك نيتشه‎
64,2023,240,89.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,7,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/1/6/0/c/160c9e47ca56b10bb895796b9c5946830d742649_633376.jpg",In Love,‎Amy Bloom‎
65,2024,304,56.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/b/d/7/1/bd7182dc96f98d50bbef74ebb0aa7c0d52d9f667_644904.jpg",‎فوق جسر الجمهورية‎,‎شهد الراوي‎
66,2018,342,40.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/9/499276.jpg",Running for My Life - How I Built a Better Me One Step at a Time,‎Rachel Ann Cullen‎
