title,brand,author,cover,publication_date,category,reviews,num_pages,price,img_url,Language,url
Epidemiology for Clinicians (Oxford Medical Handbooks),أوكسفورد,‎Helen Ward‎,Paperback,2012,"الكتب الطبية,",Not found,‎صفحة 416‎,229,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/487675.jpg",انجليزي,https://www.jarir.com//oxford-english-books-487675.html
Gastroenterology and Hepatology,أوكسفورد,‎Stuart Bloom‎,Paperback,2011,"الكتب الطبية,",Not found,‎640‎ Pages‎,69,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/487676.jpg",انجليزي,https://www.jarir.com//oxford-english-books-487676.html
Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,انجليزي,https://www.jarir.com//oxford-english-books-487677.html
Key Clinical Evidence,أوكسفورد,‎Kunal Kulkarni‎,Paperback,2016,"الكتب الطبية,",Not found,‎976‎ Pages‎,69,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/487678.jpg",انجليزي,https://www.jarir.com//oxford-english-books-487678.html
Medical Dermatology,أوكسفورد,‎Susan Burge‎,Paperback,2016,"الكتب الطبية,",Not found,‎694‎ Pages‎,239,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/487679.jpg",انجليزي,https://www.jarir.com//oxford-english-books-487679.html
Medical Sciences,أوكسفورد,‎Robert Wilkins‎,Paperback,2011,"الكتب الطبية,",Not found,‎968‎ Pages‎,69,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/487680.jpg",انجليزي,https://www.jarir.com//oxford-english-books-487680.html
Pathophysiology of Nursing,ماكجرو هيل,‎Helen Ballestas‎,Paperback,2013,"الكتب الطبية,",Not found,‎352‎ Pages‎,99,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/487721.jpg",انجليزي,https://www.jarir.com//mcgraw-hill-english-books-487721.html
Microbiology,ماكجرو هيل,‎Tom Betsy‎,Paperback,2012,"الكتب الطبية,",Not found,‎صفحة 320‎,89,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/487724.jpg",انجليزي,https://www.jarir.com//mcgraw-hill-english-books-487724.html
Study Guide,ماكجرو هيل,‎Gene Quinn‎,Paperback,2016,"الكتب الطبية,",Not found,‎576‎ Pages‎,129,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/487782.jpg",انجليزي,https://www.jarir.com//mcgraw-hill-english-books-487782.html
Current Diagnosis & Treatment: Cardiology,ماكجرو هيل,‎Michael Crawford‎,Paperback,2013,"الكتب الطبية,",Not found,‎624‎ Pages‎,105,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/487784.jpg",انجليزي,https://www.jarir.com//mcgraw-hill-english-books-487784.html
Gastroenterology,ماكجرو هيل,‎Richard Blumberg‎,Paperback,2017,"الكتب الطبية,",Not found,‎656‎ Pages‎,129,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/487787.jpg",انجليزي,https://www.jarir.com//mcgraw-hill-english-books-487787.html
Clinical Anatomy,Medmaster,‎Stephen Goldberg‎,Paperback,2010,"الكتب الطبية,",Not found,‎193‎ Pages‎,79,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/487832.jpg",انجليزي,https://www.jarir.com//medmaster-english-books-487832.html
Clinical Neuroanatomy,Medmaster,‎Stephen Goldberg‎,Paperback,2014,"الكتب الطبية,",Not found,‎100‎ صفحة‎,89,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/487833.jpg",انجليزي,https://www.jarir.com//medmaster-english-books-487833.html
Ophthalmology,Medmaster,‎Stephen Goldberg‎,Paperback,2012,"الكتب الطبية,",Not found,‎88‎ Pages‎,69,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/487835.jpg",انجليزي,https://www.jarir.com//medmaster-english-books-487835.html
Immunology,Medmaster,‎Massoud Mahmoudi‎,Paperback,2009,"الكتب الطبية,",Not found,‎90‎ Pages‎,69,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/487836.jpg",انجليزي,https://www.jarir.com//medmaster-english-books-487836.html
Allergy & Asthma (Made Ridiculously Simple),Medmaster,‎Mahmoudi Massoud‎,Paperback,2016,"الكتب الطبية,",Not found,‎62‎ Pages‎,76,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/487838.jpg",انجليزي,https://www.jarir.com//medmaster-english-books-487838.html
Clinical Psychopharmacology,Medmaster,‎John Preston‎,Paperback,2014,"الكتب الطبية,",Not found,‎87‎ Pages‎,49,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/487839.jpg",انجليزي,https://www.jarir.com//medmaster-english-books-487839.html
Psychiatry,Medmaster,‎Jefferson Nelson‎,Paperback,2015,"الكتب الطبية,",Not found,‎136‎ Pages‎,69,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/487840.jpg",انجليزي,https://www.jarir.com//medmaster-english-books-487840.html
Clinical Biochemistry,Medmaster,‎Stephen Goldberg‎,Paperback,2010,"الكتب الطبية,",Not found,‎97‎ Pages‎,69,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/487841.jpg",انجليزي,https://www.jarir.com//medmaster-english-books-487841.html
Orthopedics (Made Ridiculously Simple),Medmaster,‎Patrice Tetreault‎,Paperback,2008,"الكتب الطبية,",Not found,‎96‎ صفحة‎,79.01,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/487842.jpg",انجليزي,https://www.jarir.com//medmaster-english-books-487842.html
