title,brand,author,cover,publication_date,category,reviews,num_pages,price,img_url,Language,url
Yes or No,هاربر كولينز,‎Spencer Johnson‎,Paperback,1993,تطوير الذات,Not found,‎112‎ Pages‎,79,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/0/2/8/0/0280f149fad0ca38398bb06aa34023437f290397_637449.jpg",انجليزي,
Words to Inspire You Every Day!,The Happy Book Company,‎Staffs of Happy Book Company‎,Spiral Bound Cover,2024,تطوير الذات,Not found,‎365‎ Pages‎,69,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/8/b/8/b/8b8b542f6237970b35abd9b6861125bfe1451c19_644417.jpg",انجليزي,
Believe In You,The Happy Book Company,‎Staffs of Happy Book Company‎,Spiral Bound Cover,2024,تطوير الذات,Not found,‎365‎ Pages‎,69,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/2/3/0/5/230559b1a444c460c0bf949756d699e40dd9c72c_644423.jpg",انجليزي,
Is it Me,دار علبز النشر العربي,‎Lara Majdi Samhan‎,Paperback,2022,تطوير الذات,17,‎155‎ Pages‎,35,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/7/a/6/0/7a60ec70322c24f989b72bf452516cbe6a0f7f7a_590250.jpg",انجليزي,
The Secret,سيمون وشوستر,‎Rhonda Byrne‎,Hardcover,2006,تطوير الذات,4,‎صفحة208‎,115,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/0/306076.jpg",انجليزي,
What I Know for Sure,مجموعة نشر Holtzbrinck,‎Oprah Winfrey‎,Hardcover,2014,تطوير الذات,4,‎صفحة240‎,79,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/3/432392.jpg",انجليزي,
Ikigai - The Japanese Secret to a Long and Happy Life,منزل عشوائي,‎Hector Garcia‎,Hardcover,2017,تطوير الذات,2,‎صفحة208‎,105,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488909.jpg",انجليزي,
Think Rich to Get Rich!: Secrets of The Millionaire Mind - Mastering The Inner Game of Wealth,هاربر كولينز,‎T. Harv Eker‎,Paperback,2007,تطوير الذات,2,‎224‎ Pages‎,45,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/2/9/299691.jpg",انجليزي,
Outliers,البطريق,‎Malcolm Gladwell‎,Paperback,2009,تطوير الذات,2,‎صفحة 320‎,61,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/b/c/5/2/bc524e781db65c3f60ad4ff5557550f8c9d9e89d_400087.jpg",انجليزي,
Who Says You Can't? You Do,منزل عشوائي,‎Daniel Chidiac‎,Paperback,2018,تطوير الذات,1,‎368‎ Pages‎,69,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/9/499372.jpg",انجليزي,
Think & Grow Rich,Not found,‎Napoleon Hill‎,Paperback,2014,تطوير الذات,1,‎264‎ Pages‎,29,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/7/6/7/4/76740223528b6bffc92c122082dedfacc97aa073_602251.jpg",انجليزي,
Keep Sharp - Build a Better Brain at Any Age,كتاب العنوان,‎Sanjay Gupta‎,Paperback,2021,تطوير الذات,1,‎288‎ Pages‎,89,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/561525.jpg",انجليزي,
Mindfulness for Everyday,Summersdale,‎Yvette Jane‎,Hardcover,2016,تطوير الذات,1,‎160‎ صفحة‎,39,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/6/464835.jpg",انجليزي,
Getting Things Done - The Art of Stress-free Productivity,Piatkus Books,‎David Allen‎,Paperback,2015,تطوير الذات,1,‎352‎ Pages‎,79,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/4/445549.jpg",انجليزي,
Better Than Before - Mastering The Habits of Our Everyday Lives,منزل عشوائي,‎Gretchen Rubin‎,Paperback,2015,تطوير الذات,1,‎430‎ Pages‎,55,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/453109.jpg",انجليزي,
Show Your Work! - 10 Things Nobody Told You About Getting Discovered,عامل,‎Austin Kleon‎,Paperback,2014,تطوير الذات,1,‎215‎ Pages‎,65,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/2/425427.jpg",انجليزي,
Successful Aging - A Neuroscientist Explores The Power and Potential of our Lives,البطريق,‎Daniel Levitin‎,Paperback,2020,تطوير الذات,1,‎524‎ Pages‎,89,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/4/545998.jpg",انجليزي,
Atomic Habits,منزل عشوائي,‎James Clear‎,Trade Paperback,2018,تطوير الذات,1,‎صفحة 320‎,89,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/1/517619.jpg",انجليزي,
The Subtle Art of Not Giving a Bleep - A Counterintuitive Approach to Living a Good Life,هاربر كولينز,‎Mark Manson‎,Paperback,2017,تطوير الذات,1,‎224‎ Pages‎,75,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/1/514087.jpg",انجليزي,
Into The Heart of Reality - The Inner Voice,Local Market (English Books),‎Mohammed Safiullah‎,Paperback,2013,تطوير الذات,1,‎120‎ صفحة‎,39,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/1/417513.jpg",انجليزي,
Give And Take,أوريون,‎Adam Grant‎,Paperback,2014,تطوير الذات,1,‎380‎ Pages‎,55,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/1/419942.jpg",انجليزي,
The Concise 48 Laws of Power,Profile Books,‎Robert Greene‎,Paperback,2002,تطوير الذات,1,‎صفحة208‎,62,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/2/6/261673.jpg",انجليزي,
The Art of War,البطريق,‎Sun Tzu‎,Trade Paperback,2005,تطوير الذات,1,‎170‎ صفحة‎,45,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/2/5/259569.jpg",انجليزي,
The Richest Man in Babylon - The Success Secrets of The Ancients,البطريق,‎George Clason‎,Paperback,2002,تطوير الذات,1,‎144‎ Pages‎,45,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/e/c/f/b/ecfbac7a9fb3d504b6778d9bf283c83c040df378_232223.jpg",انجليزي,
48 Laws Of Power,البطريق,‎Robert Greene‎,Paperback,2000,تطوير الذات,4,‎452‎ Pages‎,109,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/2/0/200481.jpg",انجليزي,
Think & Grow Rich,منزل عشوائي,‎Napoleon Hill‎,Paperback,1989,تطوير الذات,2,‎256‎ Pages‎,49,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/2/1/2114.jpg",انجليزي,
The Magic (The Secret),سيمون وشوستر,‎Rhonda Byrne‎,Paperback,2012,تطوير الذات,1,‎272‎ Pages‎,59,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/9/398373.jpg",انجليزي,
Ideas Are Your Only Currency,هوددر وستونتون,‎Rod Judkins‎,Hardcover,2017,تطوير الذات,Not found,‎صفحة240‎,32,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/7/474345.jpg",انجليزي,
Developing People Pocketbook,Management Pocketbooks,‎Ian Fleming‎,Paperback,2014,تطوير الذات,Not found,‎112‎ Pages‎,15,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/7/475827.jpg",انجليزي,
Interviewers Pocketbook,Management Pocketbooks,‎Sean McManus‎,Paperback,2014,تطوير الذات,Not found,‎112‎ Pages‎,19,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/7/475833.jpg",انجليزي,
Mediation Pocketbook,Management Pocketbooks,‎Richard Boardman‎,Paperback,2014,تطوير الذات,Not found,‎128‎ ورقة‎,15,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/7/475843.jpg",انجليزي,
Teambuilding Activities Pocketbook,Management Pocketbooks,‎Paul Tizzard‎,Paperback,2006,تطوير الذات,Not found,‎128‎ ورقة‎,19,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/7/475855.jpg",انجليزي,
Pavilions in The Air - And Other Chinese Proverbs with English Equivalents,Stacey Publishing.,‎Christopher Arnander‎,Hardcover,2008,تطوير الذات,Not found,‎96‎ صفحة‎,25,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/7/479285.jpg",انجليزي,
The Essential Job Interview Handbook - A Quick and Handy Resource for Every Job Seeker,حياة مهنية,‎Jean Baur‎,Paperback,2013,تطوير الذات,Not found,‎256‎ Pages‎,25,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/a/a/0/6/aa062e30c20791d40a0b1c5b008843de5ac533bd_475443.jpg",انجليزي,
Get Smart! - How to Think and ACT Like The Most Successful and Highest-Paid People in Every Field,البطريق,‎Brian Tracy‎,Paperback,2017,تطوير الذات,Not found,‎206‎ Pages‎,55,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/480010.jpg",انجليزي,
How to Think Like Sherlock,مايكل أوسمن,‎Daniel Smith‎,Hardcover,2012,تطوير الذات,Not found,‎صفحة 192‎,55,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/7/475044.jpg",انجليزي,
No-Nonsense Job Interviews - How to Impress Prospective Employers and Ace Any Interview,حياة مهنية,‎Arnold Boldt‎,Paperback,2008,تطوير الذات,Not found,‎صفحة 192‎,25,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/9/2/1/9/9219cd63e1f1c415218c86921e179f77c7dc10f3_475437.jpg",انجليزي,
The Essential Phone Interview Handbook,حياة مهنية,‎Paul Bailo‎,Paperback,2011,تطوير الذات,Not found,‎صفحة 192‎,19,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/4/d/f/d/4dfd2716a136a1db6909fb5bef0c4bfbb4cd95ed_475439.jpg",انجليزي,
The Essential Digital Interview Handbook - Lights,حياة مهنية,‎Paul Bailo‎,Paperback,2013,تطوير الذات,Not found,‎224‎ Pages‎,25,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/5/f/d/3/5fd3e4b7891e4e0284e92f6b190e5f2e6711adc1_475440.jpg",انجليزي,
101 Smart Questions to Ask on Your Interview,حياة مهنية,‎Ron Fry‎,Paperback,2016,تطوير الذات,Not found,‎صفحة 192‎,19,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/e/d/7/8/ed78debac63ec5cb847c48121aecdf69f97ee666_475442.jpg",انجليزي,
Scared Speechless - 9 Ways to Overcome Your Fears and Captivate Your Audience,حياة مهنية,‎Steve Rohr‎,Paperback,2016,تطوير الذات,Not found,Not found,25,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/c/7/8/0/c78002ce557de21e7d87fc712bf43243a847c10e_475445.jpg",انجليزي,
Your Mind,حياة مهنية,‎Christopher Cortman‎,Paperback,2009,تطوير الذات,Not found,‎224‎ Pages‎,25,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/2/4/d/e/24de5a06032d4949237c5b659b64604e0361cefd_475446.jpg",انجليزي,
Master Your Memory - From America's Top Expert on Study Skills,حياة مهنية,‎Ron Fry‎,Paperback,2016,تطوير الذات,Not found,‎صفحة 192‎,25,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/a/a/2/c/aa2c6e1a05bda20f46c91b58f227a6b75b47a3e2_475455.jpg",انجليزي,
Think Like an Entrepreneur,حياة مهنية,‎Beverly Jones‎,Paperback,2015,تطوير الذات,Not found,‎224‎ pages‎,65,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/2/a/0/6/2a06c6d504ae1c9decbbb408ee0c3b079ae117a0_475521.jpg",انجليزي,
Focus - The Hidden Driver of Excellence,بلومزبري,‎Daniel Goleman‎,Paperback,2016,تطوير الذات,Not found,‎صفحة 320‎,49,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/7/478396.jpg",انجليزي,
The Upstarts - How Uber,منزل عشوائي,‎Brad Stone‎,Paperback,2016,تطوير الذات,Not found,‎374‎ Pages‎,19,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/7/478977.jpg",انجليزي,
Tools of Titans,منزل عشوائي,‎Timothy Ferriss‎,Paperback,2016,تطوير الذات,Not found,‎704‎ Pages‎,89,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/7/479048.jpg",انجليزي,
Mindfulness for Creativity - Adapt,البني الصغير والشركة,‎Danny Penman‎,Paperback,2015,تطوير الذات,Not found,‎224‎ Pages‎,35,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/7/479161.jpg",انجليزي,
It's Never OK to Kiss The Interviewer - and Other Secrets to Surviving,Viva Books,‎Jane Sunley‎,Paperback,2016,تطوير الذات,Not found,‎184‎ Pages‎,15,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/7/473686.jpg",انجليزي,
The Art of Public Speaking,ماكجرو هيل,‎Stephen Lucas‎,Paperback,2016,تطوير الذات,Not found,‎448‎ Pages‎,299,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/6/468763.jpg",انجليزي,
Unlocking Happiness at Work: How a Data-driven Happiness Strategy Fuels Purpose,KOGANS PAGE.,‎Jennifer Moss‎,Paperback,2016,تطوير الذات,Not found,‎صفحة240‎,30,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/6/469155.jpg",انجليزي,
How The Secret Changed My Life,سيمون وشوستر,‎Rhonda Byrne‎,Hardcover,2016,تطوير الذات,Not found,‎272‎ pages‎,75,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/7/471402.jpg",انجليزي,
Big Magic,البطريق,‎Elizabeth Gilbert‎,Mass Market Paperback,2016,تطوير الذات,Not found,Not found,59,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/6/468011.jpg",انجليزي,
The Presenting Coach,ماركة غير محددة,‎Tricia Woolfrey‎,Paperback,2016,تطوير الذات,Not found,‎256‎ Pages‎,31.76,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/7/470294.jpg",انجليزي,
When Happiness is Not Enough - Balancing Pleasure and Achievement in Your Life,إفراط,‎Chris Skellett‎,Paperback,2016,تطوير الذات,Not found,‎232‎ Pages‎,29,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/7/470759.jpg",انجليزي,
The International Family Guide to US University Admissions,جون وايلي,‎Jennifer Ann Aquino‎,Paperback,2017,تطوير الذات,Not found,‎324‎ Pages‎,49,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/9/491699.jpg",انجليزي,
How to Run Seminars & Workshops,جون وايلي,‎Robert Jolles‎,Paperback,2017,تطوير الذات,Not found,‎352‎ Pages‎,59,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/9/491701.jpg",انجليزي,
All You Need is Love,Summersdale,‎Lizzie Cornwall‎,Hardcover,2017,تطوير الذات,Not found,‎160‎ صفحة‎,19,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/489571.jpg",انجليزي,
Not found,Not found,Not found,Not found,Not found,تطوير الذات,Not found,Not found,Not found,Not found,انجليزي,
Project Happiness,Summersdale,‎Sophie Golding‎,Hardcover,2017,تطوير الذات,Not found,‎160‎ صفحة‎,39,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/489574.jpg",انجليزي,
Get Started,Summersdale,‎Emma Hill‎,Paperback,2017,تطوير الذات,Not found,‎128‎ ورقة‎,19,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/489575.jpg",انجليزي,
You Are Amazing,Summersdale,‎Alexa Kaye‎,Hardcover,2017,تطوير الذات,Not found,‎160‎ صفحة‎,55,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/489576.jpg",انجليزي,
I Love You Mum,Summersdale,‎Isobel Carlson‎,Hardcover,2017,تطوير الذات,Not found,‎160‎ صفحة‎,29,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/489580.jpg",انجليزي,
For The Best Mum Ever,Summersdale,‎Isobel Carlson‎,Hardcover,2017,تطوير الذات,Not found,‎160‎ صفحة‎,29,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/489581.jpg",انجليزي,
Believe and Achieve,Summersdale,‎Chris Naylor‎,Hardcover,2017,تطوير الذات,Not found,‎160‎ صفحة‎,39,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/489585.jpg",انجليزي,
You're Never Too Old To...,Summersdale,‎Lizzie Cornwall‎,Hardcover,2017,تطوير الذات,Not found,‎160‎ صفحة‎,19,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/489591.jpg",انجليزي,
Dad You're The Best,Summersdale,‎Dan Marshall‎,Hardcover,2017,تطوير الذات,Not found,‎160‎ صفحة‎,25,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/489599.jpg",انجليزي,
Be Strong,Summersdale,Not found,Hardcover,2017,تطوير الذات,Not found,‎160‎ صفحة‎,39,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/489601.jpg",انجليزي,
Think Positive,Summersdale,Not found,Hardcover,2017,تطوير الذات,Not found,‎160‎ صفحة‎,55,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/489602.jpg",انجليزي,
You Got This,Summersdale,Not found,Hardcover,2017,تطوير الذات,Not found,‎160‎ صفحة‎,39,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/489604.jpg",انجليزي,
Never Give Up,Summersdale,Not found,Hardcover,2017,تطوير الذات,Not found,‎160‎ صفحة‎,39,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/489605.jpg",انجليزي,
Baby Tips for Mums,Summersdale,‎Simon Brett‎,Hardcover,2017,تطوير الذات,Not found,‎96‎ صفحة‎,19,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/489606.jpg",انجليزي,
Baby Tips for Grandparents,Summersdale,‎Simon Brett‎,Hardcover,2017,تطوير الذات,Not found,‎96‎ صفحة‎,19,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/489609.jpg",انجليزي,
Baby Tips for Dads,Summersdale,‎Simon Brett‎,Hardcover,2017,تطوير الذات,Not found,‎96‎ صفحة‎,19,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/489607.jpg",انجليزي,
Bestie,Summersdale,Not found,Hardcover,2017,تطوير الذات,Not found,‎160‎ صفحة‎,39,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/489610.jpg",انجليزي,
Life's a Beach,Summersdale,‎Staffs of Summersdale‎,Hardcover,2017,تطوير الذات,Not found,‎160‎ صفحة‎,39,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/489611.jpg",انجليزي,
You Make Me Proud,Summersdale,Not found,Hardcover,2017,تطوير الذات,Not found,‎160‎ صفحة‎,39,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/489615.jpg",انجليزي,
The Path to Personal Power,البطريق,‎Napoleon Hill‎,Paperback,2017,تطوير الذات,Not found,‎239‎ Pages‎,29,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/489619.jpg",انجليزي,
Altered Traits,البطريق,‎Daniel Goleman‎,Paperback,2017,تطوير الذات,Not found,‎330‎ Pages‎,29,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/489623.jpg",انجليزي,
For The Best Dad Ever,Summersdale,‎Tim Fenton‎,Hardcover,2017,تطوير الذات,Not found,‎160‎ صفحة‎,19,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/489598.jpg",انجليزي,
Building Left Brain Power,Viva Books,‎Allen Bragdon‎,Paperback,2015,تطوير الذات,Not found,Not found,19,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/489760.jpg",انجليزي,
You Are a Badass - How to Stop Doubting Your Greatness and Start Living an Awesome Life,هوددر وستونتون,‎Jen Sincero‎,Paperback,2016,تطوير الذات,Not found,‎256‎ Pages‎,49,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/486641.jpg",انجليزي,
What are They Saying About You - 50 Lessons to Manage Your Reputation,التايمز وهديسون,‎Frank Peters‎,Paperback,2015,تطوير الذات,Not found,‎144‎ Pages‎,35,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/487338.jpg",انجليزي,
